render_var,title,legend_title,legend_title_1,legend_title_1a,sources,variable_2
popdens_ttcstop_avg_0,TTC Stop Walkability and Population Density,Walkability and Population Density,Normalized bi-variate relationship.,Classified into 33% < 66% < 100%,"Sources: Census 2016, Stats Canada. Data Analysis and Visualization (DAV), City of Toronto",Population Density
over19_wc_avg_0,Walk-In Clinic Walkability and Population Over 19 Years Old ,Walkability and Population Over 19,Normalized bi-variate relationship.,Classified into 33% < 66% < 100%,"Sources: Census 2016, Stats Canada. Data Analysis and Visualization (DAV), City of Toronto",Population Over 19
over19_vtl_avg_0,Voting Location Walkability and Population Over 19 Years Old,Walkability and Population Over 19,Normalized bi-variate relationship.,Classified into 33% < 66% < 100%,"Sources: Census 2016, Stats Canada. Data Analysis and Visualization (DAV), City of Toronto",Population Over 19
over19_lb_avg_0,Library Walkability and Population Over 19 Years Old,Walkability and Population Over 19,Normalized bi-variate relationship.,Classified into 33% < 66% < 100%,"Sources: Census 2016, Stats Canada. Data Analysis and Visualization (DAV), City of Toronto",Population Over 19
over65_fc_avg_0,Convenience Store Walkability and Population Over 65 Years Old,Walkability and Population Over 65,Normalized bi-variate relationship.,Classified into 33% < 66% < 100%,"Sources: Census 2016, Stats Canada. Data Analysis and Visualization (DAV), City of Toronto",Population Over 65
over65_wc_avg_0,Walk-In Clinic Walkability and Population Over 65 Years Old,Walkability and Population Over 65,Normalized bi-variate relationship.,Classified into 33% < 66% < 100%,"Sources: Census 2016, Stats Canada. Data Analysis and Visualization (DAV), City of Toronto",Population Over 65
over65_rec_avg_0,Recreation Centre Walkability and Population Over 65 Years Old,Walkability and Population Over 65,Normalized bi-variate relationship.,Classified into 33% < 66% < 100%,"Sources: Census 2016, Stats Canada. Data Analysis and Visualization (DAV), City of Toronto",Population Over 65
over65_ttcst_avg_0,TTC Station Walkability and Population Over 65 Years Old,Walkability and Population Over 65,Normalized bi-variate relationship.,Classified into 33% < 66% < 100%,"Sources: Census 2016, Stats Canada. Data Analysis and Visualization (DAV), City of Toronto",Population Over 65
over65_ttcacc_avg_0,TTC Accessible Station Walkability and Population Over 65 Years Old,Walkability and Population Over 65,Normalized bi-variate relationship.,Classified into 33% < 66% < 100%,"Sources: Census 2016, Stats Canada. Data Analysis and Visualization (DAV), City of Toronto",Population Over 65
over65_ttcstop_avg_0,TTC Stop Walkability and Population Over 65 Years Old,Walkability and Population Over 65,Normalized bi-variate relationship.,Classified into 33% < 66% < 100%,"Sources: Census 2016, Stats Canada. Data Analysis and Visualization (DAV), City of Toronto",Population Over 65
over65_lb_avg_0,Library Walkability and Population Over 65 Years Old,Walkability and Population Over 65,Normalized bi-variate relationship.,Classified into 33% < 66% < 100%,"Sources: Census 2016, Stats Canada. Data Analysis and Visualization (DAV), City of Toronto",Population Over 65
over65_hp_avg_0,Hospital Walkability and Population Over 65 Years Old,Walkability and Population Over 65,Normalized bi-variate relationship.,Classified into 33% < 66% < 100%,"Sources: Census 2016, Stats Canada. Data Analysis and Visualization (DAV), City of Toronto",Population Over 65
